label,pattern,replace
duration,fugacious,fugacious
duration,marcescent,marcescent
duration,persistent,persistent
duration,subpersistent,subpersistent
flower_location,epigynous,inferior
flower_location,half-inferior,inferior
flower_location,hypogynous,superior
flower_location,inferior,inferior
flower_location,perigynous,perigynous
flower_location,superior,superior
flower_morphology,accrescent,accrescent
flower_morphology,anthesis,anthesis
leaf_duration,deciduous,deciduous
leaf_duration,evergreen,evergreen
leaf_duration,semi-deciduous,semi-deciduous
leaf_duration,semi-evergreen,semi-evergreen
leaf_folding,carinate,carinate
leaf_folding,conduplicate,conduplicate
leaf_folding,cucullate,cucullate
leaf_folding,involute,involute
leaf_folding,plicate,plicate
leaf_folding,reduplicate,reduplicate
leaf_folding,revolute,revolute
odor,fragrant,fragrant
plant_duration,annual,annual
plant_duration,biennial,biennial
plant_duration,monocarp,monocarp
plant_duration,monocarpic,monocarpic
plant_duration,perennial,perennial
plant_duration,semelparous,semelparous
morphology,heteropmorphic,heteropmorphic
morphology,homomorphic,homomorphic
reproduction,androdioecious,androdioecious
reproduction,androecious,androecious
reproduction,androgynomonoecious,androgynomonoecious
reproduction,androgynous,androgynous
reproduction,andromonoecious,andromonoecious
reproduction,dichogamous,dichogamous
reproduction,dioecious,dioecious
reproduction,gynodioecious,gynodioecious
reproduction,gynodioecy,gynodioecy
reproduction,gynoecious,gynoecious
reproduction,gynomonoecious,gynomonoecious
reproduction,hermaphrodite,hermaphrodite
reproduction,hermaphroditic,hermaphrodite
reproduction,monoecious,monoecious
reproduction,polygamodioecious,polygamodioecious
reproduction,polygamomonoecious,polygamomonoecious
reproduction,polygamous,polygamous
reproduction,protogynous,protogynous
reproduction,subandroecious,subandroecious
reproduction,subdioecious,subdioecious
reproduction,subgynoecious,subgynoecious
reproduction,trimonoecious,trimonoecious
reproduction,trioecious,trioecious
skip,leaf-formula,
skip,lf-formula,
venation,acrodromous,acrodromous
venation,actinodromous,actinodromous
venation,arbuscular,arbuscular
venation,arbuscularis,arbuscular
venation,brochidodromous,brochidodromous
venation,camptodromous,camptodromous
venation,campylodrom,campylodrom
venation,campylodromous,campylodrom
venation,canalicululate,channelled
venation,channelled,channelled
venation,cladodromous,cladodromous
venation,collimate,collimate
venation,collimatus,collimate
venation,conglutinate,conglutinate
venation,conglutinatus,conglutinate
venation,craspedodromous,craspedodromous
venation,dichotomous,dichotomous
venation,eucamptodromous,eucamptodromous
venation,fan veined,palmate
venation,fan-veined,palmate
venation,feather veined,feather-veined
venation,feather-veined,feather-veined
venation,flabellate,flabellate
venation,flabellatus,flabellate
venation,guttered,guttered
venation,hyphodromous,hyphodromous
venation,imperfect basal,imperfect basal
venation,imperfect reticulate,imperfect reticulate
venation,impressed,impressed
venation,midrib,midrib
venation,midvein,midrib
venation,multicostate convergent,multicostate convergent
venation,multicostate divergent,multicostate divergent
venation,multicostate parallel,multicostate parallel
venation,multicostate parallel convergent,multicostate parallel convergent
venation,multicostate parallel divergent,multicostate parallel divergent
venation,netted,netted
venation,palinactodrom,palinactodrom
venation,palinactodromous,palinactodrom
venation,palmate,palmate
venation,palmate parallel,palmate-parallel
venation,palmate-netted,palmate
venation,palmate-parallel,palmate-parallel
venation,palmate-veined,palmate
venation,palmately netted,palmate
venation,palmately veined,palmate
venation,palmatus,palmate
venation,parallel,parallel
venation,parallel-nerved,parallelodromous
venation,parallel-ribbed,parallelodromous
venation,parallel-veined,parallelodromous
venation,parallelodrom,parallelodrom
venation,parallelodromous,parallelodrom
venation,penni parallel,parallelodromous
venation,penni-parallel,parallelodromous
venation,penninerved,penninerved
venation,penniribbed,penniribbed
venation,penniveined,penniveined
venation,pinnate netted,pinnate-netted
venation,pinnate parallel,pinnate parallel
venation,pinnate-netted,pinnate-netted
venation,plinerved,plinervy
venation,plinervy,plinervy
venation,reticulate,reticulate
venation,rib,rib
venation,ribbed,rib
venation,ribs,rib
venation,scalariform,scalariform
venation,striate,striate
venation,subflabellate,subflabellate
venation,submarginal,submarginal
venation,ternate-netted,ternate-netted
venation,ternately,ternate-netted
venation,trinerved,trinerved
venation,unicostate parallel,unicostate parallel
venation,unicostate reticulate,unicostate reticulate
venation,uninerved,uninervous
venation,uninervous,uninervous
venation,vein,vein
venation,veined,veined
venation,veinless,veinless
venation,veinlet ,veinlet
venation,veins,vein
venation,venation,vein
woodiness,herb,herb
woodiness,herbaceous,herbaceous
woodiness,herbs,herb
woodiness,subherbaceous,herbaceous
woodiness,woody,woody
