label,pattern,attr,replace
col_label,col,lower,collector
col_label,coll,lower,collector
col_label,collected,lower,collector
col_label,collector,lower,collector
det_label,det,lower,determiner
det_label,determiner,lower,determiner
job_label,art,lower,artist
job_label,artist,lower,artist
job_label,ass,lower,assistant
job_label,assist,lower,assistant
job_label,assistant,lower,assistant
job_label,auth,lower,author
job_label,author,lower,author
job_label,authors,lower,author
job_label,cartographer,lower,cartographer
job_label,conservator,lower,conservator
job_label,contributor,lower,contributor
job_label,curator,lower,curator
job_label,curatorial,lower,curator
job_label,dir,lower,director
job_label,director,lower,director
job_label,ecologist,lower,ecologist
job_label,editor,lower,editor
job_label,entomologist,lower,entomologist
job_label,explorer,lower,explorer
job_label,extractor,lower,extractor
job_label,gardener,lower,gardener
job_label,geographer,lower,geographer
job_label,geologist,lower,geologist
job_label,georeferencer,lower,georeferencer
job_label,grower,lower,grower
job_label,horticulturalist,lower,horticulturalist
job_label,illustrator,lower,illustrator
job_label,manager,lower,manager
job_label,naturalist,lower,naturalist
job_label,preparator,lower,preparator
job_label,researcher,lower,researcher
job_label,volunteer,lower,volunteer
job_label,volunteers,lower,volunteer
job_label,writer,lower,writer
col_label,col.,lower,collector
col_label,coll.,lower,collector
det_label,det.,lower,determiner
col_label,collector(s):,lower,collector
col_label,collector(s),lower,collector
det_label,determined,lower,determiner
det_label,determiner(s):,lower,determiner
det_label,determiner(s),lower,determiner
