rank,taxon
series,Acuminatae
section,Bourgonia
series,Calocephalae
series,Calycinae
series,Densiflorae
section,Diadema
series,Dysanthae
series,Erianthae
section,Euinga
series,Glabriflorae
series,Goldmanianae
series,Gymnopodae
section,Lepiinga
section,Lepiinga
series,Leptanthae
section,Lepthanthae
series,Lepthanthae
section,Leptinga
series,Longiflorae
series,Multijugae
series,Pilosiusculae
series,Pilosulae
section,Pseudinga
series,Punctatae
series,Spectabiles
series,Striatae
series,Sulcatae
series,Tetragonae
series,Verae
section,Vulpinae
species,Inga palliada
species,Zygla rhytidecarpa
species,Zygla cupirensis
