label,pattern,attr,replace,rank_id,abbrev
higher_rank,kingdom,lower,kingdom,10,
higher_rank,subkingdom,lower,subkingdom,20,
higher_rank,infrakingdom,lower,infrakingdom,25,
higher_rank,superdivision,lower,superdivision,27,
higher_rank,division,lower,division,30,
higher_rank,phylum,lower,division,30,
higher_rank,subdivision,lower,subdivision,40,
higher_rank,subphylum,lower,subdivision,40,
higher_rank,infradivision,lower,infradivision,45,
higher_rank,superclass,lower,superclass,50,
higher_rank,class,lower,class,60,
higher_rank,subclass,lower,subclass,70,
higher_rank,infraclass,lower,infraclass,80,
higher_rank,superorder,lower,superorder,90,
higher_rank,order,lower,order,100,
higher_rank,suborder,lower,suborder,110,
higher_rank,family,lower,family,140,
higher_rank,subfamily,lower,subfamily,150,
higher_rank,tribe,lower,tribe,160,
higher_rank,tribes,lower,tribe,160,
higher_rank,subtribe,lower,subtribe,170,
higher_rank,subtribes,lower,subtribe,170,
higher_rank,genus,lower,genus,180,
lower_rank,subg.,lower,subgenus,190,subg.
higher_rank,subgenus,lower,subgenus,190,subg.
higher_rank,sect,lower,section,200,sect.
higher_rank,sect.,lower,section,200,sect.
higher_rank,section,lower,section,200,sect.
lower_rank,subsect,lower,subsection,210,subsect.
lower_rank,subsect.,lower,subsection,210,subsect.
higher_rank,subsection,lower,subsection,210,subsect.
higher_rank,ser,lower,series,212,ser.
higher_rank,ser.,lower,series,212,ser.
higher_rank,series,lower,series,212,ser.
higher_rank,subser,lower,subseries,215,subser.
higher_rank,subser.,lower,subseries,215,subser.
higher_rank,subseries,lower,subseries,215,subser.
species_rank,sp,lower,species,220,sp.
species_rank,Sp,text,species,220,sp.
species_rank,sp.,lower,species,220,sp.
species_rank,Sp.,text,species,220,sp.
species_rank,species,lower,species,220,sp.
subspecies_rank,ssp,lower,subspecies,230,subsp.
subspecies_rank,ssp.,lower,subspecies,230,subsp.
subspecies_rank,subsp,lower,subspecies,230,subsp.
subspecies_rank,subsp.,lower,subspecies,230,subsp.
subspecies_rank,subspecies,lower,subspecies,230,subsp.
variety_rank,var,lower,variety,240,var.
variety_rank,var.,lower,variety,240,var.
variety_rank,variant,lower,variety,240,var.
variety_rank,varietas,lower,variety,240,var.
variety_rank,variety,lower,variety,240,var.
subvariety_rank,subvar.,lower,subvariety,250,subvar.
subvariety_rank,subvariety,lower,subvariety,250,subvar.
form_rank,f.,text,form,260,f.
form_rank,form,lower,form,260,f.
form_rank,forma,lower,form,260,f.
subform_rank,subf.,lower,subform,270,subf.
subform_rank,subform,lower,subform,270,subf.
